economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin24,fin25,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,168447253,1.14050911364831,2,39.0,1.0,1,1.0,2,,,2.0,2.0,2,,2.0,2.0,,,,,,,,,2,2,,2,1,1,2.0,1,1,2,2,1,,1,4.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2.0,,,1,2,1.0,2.0,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,1,0.0,1,1,1,2,1,4,2.0,2,2.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,117666453,0.261434414974821,2,58.0,2.0,3,1.0,2,,,,,2,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2,2,,1,1,2,2.0,2,2,2,2,2,,2,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,1,1,4,4,4,4.0,2,2.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,143876415,1.87493431766895,1,35.0,2.0,1,1.0,1,1.0,2.0,2.0,2.0,2,,3.0,4.0,,,,,,,,,4,4,,4,4,4,4.0,4,1,2,2,1,,2,,2.0,,,,,2.0,,,,,1,1.0,2.0,,4,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,1,0.0,1,0,1,5,4,4,4.0,1,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,145830320,1.11746687443887,2,25.0,2.0,5,0.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,,1,2,2,2.0,2,2,2,2,2,,1,3.0,1.0,2.0,1.0,,,2.0,,,,,2,,,,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,0,1.0,1,1,0,2,4,4,4.0,4,1.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,197253205,1.25708013655009,1,66.0,2.0,3,0.0,2,,,,,2,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,1.0,2.0,2.0,2.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,4.0,2,2.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,194221824,0.837489112856967,1,30.0,3.0,2,1.0,1,1.0,2.0,1.0,1.0,2,,2.0,2.0,,,,,,,,,1,1,2.0,1,1,2,2.0,2,2,1,2,1,,1,3.0,1.0,2.0,1.0,,,1.0,2.0,1.0,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,1,1.0,1,1,1,4,4,4,4.0,2,1.0,0.0,0.0,1.0,1.0
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,194436567,0.416392227254626,2,61.0,1.0,1,0.0,2,,,,,2,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,0,4,4,4,4.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,122036298,0.579079877998691,2,53.0,1.0,1,0.0,2,,,,,2,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2,,2,2,2,1.0,2,1,2,2,1,1.0,1,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,1,1,4,4,4,2.0,2,2.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,120352688,0.979880972963536,2,41.0,2.0,5,1.0,2,,,,,2,,,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2,2,,2,1,2,2.0,2,2,2,2,1,,1,3.0,2.0,,,,,2.0,,,,,2,,,,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,1,1,2,4,4,2.0,4,5.0,0.0,,0.0,
Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,176610351,1.82896586971232,2,78.0,2.0,5,0.0,2,,,,,2,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,4.0,4,5.0,0.0,,0.0,
