,economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin24,fin25,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy,% deviation from mean age
114612,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,195915495,0.514287367477234,1,34.0,2.0,5,1.0,2,,,,,2,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,1,2,1,,1,3.0,2.0,,,,,1.0,2.0,2.0,2.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,1,4,4,4,4.0,2,2.0,0.0,,0.0,,15.99545387162128
114613,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,158278935,2.61434462536248,1,28.0,2.0,3,1.0,2,,,,,2,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,1,2.0,2.0,,,,,2.0,,,,,2,,,,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,0,0.0,0,0,0,2,4,4,4.0,4,5.0,0.0,,0.0,,30.819785541335172
114614,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,133755649,0.656977098177648,2,58.0,2.0,3,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,2,2,2,2.0,2,2,1,2,2,,2,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,1,0.0,1,1,1,4,4,4,2.0,2,3.0,0.0,,0.0,,43.30187280723429
114615,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,155827745,1.32957271679148,2,28.0,2.0,2,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,2.0,2,5.0,0.0,,0.0,,30.819785541335172
114616,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,120718945,0.610293996149468,1,49.0,2.0,5,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2,,2,1,2,2.0,2,2,2,2,2,,1,3.0,2.0,,,,,2.0,,,,,2,,,,1,2.0,2.0,2.0,1.0,2.0,,,1,2,2.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,0,0.0,0,1,0,2,3,4,4.0,4,5.0,0.0,,0.0,,21.065375302663448
114617,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,199009617,0.261434414974821,1,35.0,2.0,5,1.0,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,,,,,,,,,2,2,,2,1,1,2.0,1,1,2,2,2,,2,,1.0,1.0,1.0,,,2.0,,,,,1,1.0,2.0,,1,2.0,1.0,2.0,,,1.0,1.0,1,2,2.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,1,0.0,1,1,1,1,1,4,4.0,1,1.0,0.0,,0.0,,13.524731926668965
114618,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,143303613,1.45562063111618,2,16.0,2.0,2,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2,2,,1,2,2,2.0,1,2,2,2,1,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,1,1,4,4,4,4.0,4,5.0,0.0,,0.0,,60.468448880762956
114619,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,198223946,1.31302827464722,1,30.0,2.0,4,1.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,2.0,1,2,2,2.0,2,2,2,2,1,,1,3.0,2.0,,,,,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,1,1,4,4,4,2.0,2,2.0,0.0,0.0,1.0,1.0,25.878341651430542
114620,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,128915347,0.509781894334702,2,69.0,1.0,1,1.0,1,1.0,2.0,2.0,2.0,2,,2.0,2.0,,,,,,,,,2,2,,2,1,2,2.0,2,2,2,2,2,,1,2.0,2.0,,,,,1.0,2.0,2.0,2.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,1,1,2.0,2.0,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,1,0.0,1,1,0,4,2,2,2.0,2,2.0,0.0,,0.0,,70.47981420170976
114621,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,208717055,2.61434462536248,2,17.0,2.0,4,0.0,2,,,2.0,2.0,2,,1.0,2.0,,,,,,,,,2,1,2.0,2,1,1,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,1,0.0,1,1,0,4,4,4,4.0,4,5.0,0.0,0.0,1.0,1.0,57.99772693581064
114622,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,124292807,2.38361677171932,1,17.0,1.0,1,1.0,2,,,,,2,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,2,,1,1,2,2.0,2,2,2,2,1,,1,7.0,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,1,1,4,4,4,4.0,4,5.0,0.0,,0.0,,57.99772693581064
114623,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,122710856,0.52248578098696,2,42.0,2.0,3,1.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,1,1,1,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,0,0.0,0,0,1,4,4,4,4.0,2,5.0,0.0,,0.0,,3.7703216879972414
114624,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,161495428,0.34196685545131,2,50.0,2.0,4,0.0,2,,,,,2,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,1.0,1.0,2.0,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,0,4,4,4,4.0,2,2.0,0.0,,0.0,,23.536097247615764
114625,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,186091709,0.553899310081174,2,53.0,2.0,4,1.0,1,1.0,1.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,1,1,1,2.0,2,2,1,1,2,,2,,2.0,,,,,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,1.0,2,,,,,,,,2,1,1.0,2.0,,,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,1,0.0,1,1,1,4,4,1,4.0,2,2.0,0.0,,0.0,,30.94826308247271
114626,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,120286161,1.70105322690963,1,46.0,1.0,5,1.0,2,,,,,2,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1,2,,1,1,2,2.0,1,1,2,2,1,,1,3.0,2.0,,,,,2.0,,,,,1,2.0,1.0,,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,0,1.0,1,1,1,2,4,4,4.0,1,5.0,0.0,,0.0,,13.653209467806503
